Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,week,time,unscathed,killed,hospital,light
201600000022,16,4,2,1045,1,2,1,3,5084579,226407,3,2,2,0,2,1,0,73,1,0,0,0,100,6,10.0,1984,280,1461,1333
201600000051,16,4,29,1545,1,1,1,1,5068000,279300,3,2,2,0,1,1,68,0,1,0,1,99,150,5,15.0,3105,282,1751,2325
201600000052,16,6,1,1530,1,1,2,3,5064100,271200,3,2,2,0,1,1,0,65,2,0,1,3,164,3,15.0,1704,164,1040,1304
201600000056,16,10,18,745,2,1,1,6,5070800,276500,3,2,2,0,1,1,0,62,1,0,1,0,168,2,7.0,1971,166,1215,1539
201600000058,16,3,10,400,3,1,1,6,5070266,262094,3,2,2,0,1,3,0,63,1,0,3,99,115,4,4.0,905,103,534,696
201600000066,16,6,27,1545,1,1,1,1,5078535,253023,3,2,0,0,1,1,0,69,1,0,1,99,141,1,15.0,1769,165,1168,1422
201600000073,16,9,27,2100,5,2,1,3,5060979,322963,3,2,2,0,1,1,0,0,1,5,0,99,158,2,21.0,1286,134,805,1084
201600000081,16,1,22,1130,1,2,1,3,5074146,296661,3,2,2,2,1,1,0,81,1,0,1,99,168,5,11.0,1856,182,1161,1315
201600000087,16,5,30,1145,1,6,2,2,5073736,295811,3,2,2,0,1,1,0,0,2,5,0,99,130,1,11.0,1259,126,716,948
201600000088,16,8,9,1345,1,6,1,3,5071258,293230,3,2,2,0,1,1,0,58,1,5,1,99,114,2,13.0,1840,177,1235,1384
201600000089,16,9,10,530,3,1,1,1,5070937,294594,3,2,2,0,1,1,0,69,1,0,1,99,151,6,5.0,1459,181,1002,1102
201600000099,16,2,4,2115,5,1,1,6,5012850,383819,3,2,2,0,2,1,0,70,1,0,4,0,135,4,21.0,1067,89,580,791
201600000129,16,2,7,615,5,1,2,6,5007517,368177,3,2,0,0,1,3,25,69,2,5,1,99,100,7,6.0,996,198,938,816
201600000154,16,2,11,645,2,1,1,7,5026700,316400,3,2,2,0,1,1,0,0,1,0,1,3,128,4,6.0,702,63,429,631
201600000155,16,7,2,1400,1,1,1,6,5026763,322428,3,2,0,0,1,2,60,0,1,0,4,0,140,6,14.0,2199,258,1629,1795
201600000156,16,8,28,2000,2,1,1,3,5028800,312600,3,2,0,0,2,1,0,65,1,0,1,3,135,7,20.0,1215,255,1183,866
201600000157,16,12,17,2100,5,1,2,1,5027000,321100,4,2,0,0,1,1,0,55,2,0,1,3,158,6,21.0,1365,176,1021,1046
201600000158,16,12,21,500,3,6,1,7,5031200,313000,3,3,2,0,1,1,0,0,2,5,1,99,135,3,5.0,510,53,294,396
