Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,sum,unscathed,killed,hospital,light,week,time
201600000022,16,4,2,1045,1,2,1,3,5084579,226407,3,2,2,0,2,1,0,73,1,0,0,0,100,69,6,30,64,6,10.0
201600000051,16,4,29,1545,1,1,1,1,5068000,279300,3,2,2,0,1,1,68,0,1,0,1,99,150,131,3,46,101,5,15.0
201600000052,16,6,1,1530,1,1,2,3,5064100,271200,3,2,2,0,1,1,0,65,2,0,1,3,164,116,5,55,104,3,15.0
201600000056,16,10,18,745,2,1,1,6,5070800,276500,3,2,2,0,1,1,0,62,1,0,1,0,168,129,8,55,105,2,7.0
201600000058,16,3,10,400,3,1,1,6,5070266,262094,3,2,2,0,1,3,0,63,1,0,3,99,115,73,7,27,81,4,4.0
201600000066,16,6,27,1545,1,1,1,1,5078535,253023,3,2,0,0,1,1,0,69,1,0,1,99,141,92,7,57,77,1,15.0
201600000073,16,9,27,2100,5,2,1,3,5060979,322963,3,2,2,0,1,1,0,0,1,5,0,99,158,105,4,54,100,2,21.0
201600000081,16,1,22,1130,1,2,1,3,5074146,296661,3,2,2,2,1,1,0,81,1,0,1,99,168,107,6,64,98,5,11.0
201600000087,16,5,30,1145,1,6,2,2,5073736,295811,3,2,2,0,1,1,0,0,2,5,0,99,130,98,7,33,90,1,11.0
201600000088,16,8,9,1345,1,6,1,3,5071258,293230,3,2,2,0,1,1,0,58,1,5,1,99,114,71,4,48,62,2,13.0
201600000089,16,9,10,530,3,1,1,1,5070937,294594,3,2,2,0,1,1,0,69,1,0,1,99,151,103,9,69,73,6,5.0
201600000090,16,12,24,530,5,1,1,6,5072661,297364,3,2,0,1,0,1,0,60,2,5,3,99,131,75,10,49,72,6,5.0
201600000095,16,4,4,1530,1,1,1,1,5026022,332324,3,2,0,0,1,1,0,73,2,0,1,99,134,83,3,44,87,1,15.0
201600000099,16,2,4,2115,5,1,1,6,5012850,383819,3,2,2,0,2,1,0,70,1,0,4,0,135,103,14,41,80,4,21.0
