Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,unscathed,killed,hospital,light,chance
201200038124,12,2,7,1530,1,1,1,6,4877984,209585,9,2,2,0,1,4,0,0,5,0,1,99,2,0,2,0,1
201600034747,16,5,4,2145,3,1,1,6,4878742,210454,3,0,2,0,2,2,0,80,1,0,3,99,0,1,0,0,1
201200037708,12,6,20,1200,1,1,1,7,4880901,211127,4,2,2,0,4,2,0,50,1,0,3,99,2,0,0,2,1
201500034528,15,3,30,703,5,1,1,6,4883687,211210,3,2,2,0,1,1,0,0,2,0,1,99,1,0,1,0,1
201500034444,15,7,24,1730,1,1,2,6,4887750,209766,4,2,2,0,1,1,20,40,2,0,1,99,2,0,0,1,1
201600034664,16,3,23,1545,1,1,1,4,4887972,210861,2,3,1,0,1,2,0,0,1,5,1,0,2,0,1,0,1
201200038535,12,9,11,1745,1,1,1,6,4891229,209868,3,2,2,0,1,1,0,59,1,0,1,99,0,0,2,2,1
201300035676,13,1,24,805,3,1,1,1,4894344,209518,2,2,3,0,1,1,0,105,1,0,1,99,1,0,1,0,1
201600034737,16,3,21,844,1,1,1,7,4878242,212009,4,0,2,3,1,1,0,0,1,0,1,99,2,0,0,3,1
201600034726,16,11,9,905,1,1,2,3,4880149,212918,4,3,4,0,1,1,0,0,2,0,1,99,1,0,0,1,1
201600034725,16,12,9,1320,1,1,1,6,4882788,212627,4,1,1,0,1,2,0,0,1,5,1,99,1,0,1,0,1
201600034777,16,11,28,1400,1,1,1,3,4883800,212270,4,2,1,0,1,1,0,0,1,0,1,99,0,0,1,2,1
201600034740,16,4,2,1950,1,3,2,1,4885774,213487,4,2,1,0,1,1,0,60,2,5,1,99,2,0,0,1,1
201200038666,12,2,16,2030,5,2,1,1,4888570,213020,3,2,2,0,1,1,0,78,1,0,1,99,2,0,2,0,1
201600034653,16,11,1,1800,2,3,1,3,4891011,213952,4,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1
201100041886,11,1,4,1715,1,3,1,6,4894390,213295,3,3,1,0,1,1,0,0,1,0,1,99,2,0,2,0,1
201500034520,15,3,15,545,3,1,8,1,4877600,215203,3,2,2,0,1,1,0,61,1,0,1,99,1,0,0,1,1
201600034727,16,1,11,1925,5,3,1,3,4879159,214546,4,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1
201300035756,13,1,30,835,1,1,2,6,4881326,214488,4,2,2,0,1,1,0,60,2,0,1,0,1,0,1,0,1
201500034546,15,4,10,1540,1,2,1,3,4884440,214617,3,2,2,0,1,1,0,0,1,0,1,0,0,0,0,4,1
201200038043,12,4,18,2315,5,3,2,3,4886795,214616,3,3,2,0,1,1,8,58,2,5,1,99,0,0,0,4,1
201100042447,11,1,28,1405,1,3,1,3,4889640,215282,3,2,2,0,1,1,0,58,1,0,1,99,0,0,0,4,1
201300035377,13,3,1,1310,1,6,1,3,4890933,216048,3,2,2,0,1,1,102,122,1,5,1,99,1,0,0,1,1
201600034687,16,2,25,2300,5,1,1,6,4894327,216142,3,2,6,0,1,1,5,179,1,0,0,99,0,0,1,0,1
201600034741,16,1,20,2020,5,3,1,3,4878302,218472,4,2,2,0,1,1,0,80,1,0,1,99,1,0,0,1,1
201600034742,16,1,20,1830,5,1,1,6,4880472,217974,3,2,2,0,1,1,0,120,1,0,1,99,1,0,0,1,1
201100047109,11,1,26,1730,1,1,2,2,4882840,217119,4,3,4,0,1,1,8,60,2,0,1,99,2,0,0,2,1
201600034738,16,3,29,1005,1,3,1,6,4883850,218597,4,1,1,0,1,1,0,0,1,0,0,99,1,0,0,1,1
201100047029,11,1,4,855,1,1,1,6,4887380,218633,4,1,1,0,1,1,0,0,1,0,1,0,2,0,0,2,1
201100046707,11,2,17,1305,1,2,9,3,4888970,218679,4,1,1,0,1,1,0,50,1,0,1,99,2,0,0,2,1
201600034708,16,9,18,1640,1,1,1,6,4891000,217695,3,2,2,0,2,1,0,0,1,0,4,0,1,0,0,1,1
201600034684,16,1,27,745,5,1,2,6,4894545,217346,4,1,2,0,2,1,0,58,2,0,1,0,1,0,0,1,1
201600034765,16,6,12,1535,1,1,1,2,4878075,220733,4,1,2,0,1,1,0,40,1,0,1,0,1,0,1,1,1
201100047243,11,6,17,1205,1,1,1,3,4880880,220402,3,3,2,0,2,1,5,80,1,0,1,99,2,0,0,2,1
201100047214,11,2,8,1340,1,1,1,6,4882090,220166,3,2,2,0,1,1,0,0,1,0,1,99,2,0,0,2,1
201100047118,11,3,7,2000,5,2,1,3,4885290,220583,4,2,2,0,1,1,0,52,1,0,1,99,2,0,0,4,1
201100047032,11,1,11,920,1,1,2,3,4886720,219886,3,2,2,0,1,1,0,0,2,0,1,0,2,0,0,2,1
201100046693,11,1,3,1930,5,2,8,3,4889370,221194,3,3,5,0,1,1,0,170,1,0,1,0,2,0,0,4,1
201600044030,16,5,20,1800,1,3,2,3,4892320,221190,3,3,4,0,1,1,0,0,1,0,1,99,0,0,0,1,1
201600034689,16,4,29,1740,1,1,1,5,4892639,219313,3,2,1,0,1,1,0,92,1,0,1,99,2,0,1,0,1
201600034775,16,11,25,1530,1,1,1,6,4878464,221541,4,2,2,0,1,1,0,0,1,0,1,99,1,0,1,0,1
201100046515,11,1,3,1905,5,1,1,3,4878780,221692,4,2,2,0,1,1,0,50,1,0,1,99,2,0,0,2,1
201100045603,11,1,25,1720,2,1,4,6,4882880,223058,4,1,1,3,1,3,0,0,1,0,1,0,2,0,0,2,1
201600055179,16,10,1,1330,1,3,1,2,4885300,222626,4,2,4,0,1,1,0,0,1,0,1,0,1,0,0,2,1
201600054783,16,1,2,2245,5,2,2,6,4886500,223445,4,1,2,0,1,1,0,0,2,5,1,99,1,0,0,1,1
201100046173,11,6,30,2040,1,1,1,2,4889610,223404,4,2,2,0,1,1,0,0,1,0,1,0,2,0,0,2,1
201600044007,16,1,28,705,5,1,2,3,4892360,221770,3,3,3,0,2,1,0,0,2,0,1,99,1,0,0,1,1
201600044002,16,1,16,33,5,1,1,6,4893870,221490,4,2,2,0,1,2,0,0,1,0,1,99,0,0,0,1,1
201100045770,11,1,5,1425,1,1,1,6,4876660,225819,4,2,1,0,1,1,0,60,1,0,1,0,2,0,0,2,1
201100045830,11,1,7,1150,1,1,2,6,4878890,225999,3,2,4,0,1,1,0,0,2,0,1,0,2,0,2,0,1
201100045617,11,2,18,1615,1,1,1,2,4882810,224662,4,2,2,0,1,1,0,0,1,0,1,99,2,0,0,2,1
201600051221,16,3,18,2015,5,1,1,3,4884450,225713,4,2,2,0,1,1,0,90,1,0,1,99,1,0,0,1,1
201600052463,16,9,12,2130,4,1,1,6,4887500,224543,4,0,2,0,1,1,0,100,1,0,1,0,0,0,0,1,1
201100046113,11,1,5,1100,1,2,1,3,4889610,224668,4,1,1,0,1,1,0,0,1,0,1,0,2,0,0,2,1
201100046046,11,1,8,1840,5,1,2,7,4892330,225206,3,2,6,0,1,1,0,0,2,0,1,0,2,0,2,0,1
201600044005,16,1,25,1225,1,3,1,3,4894270,225240,3,2,4,0,1,1,0,0,1,0,1,3,2,0,0,1,1
201100045773,11,1,20,1630,1,1,1,6,4876430,226938,3,2,2,0,1,1,0,70,1,0,1,0,2,0,0,2,1
201100045838,11,2,1,1750,5,6,1,1,4879380,227155,3,2,2,0,1,1,0,0,9,0,1,99,2,0,0,2,1
201600054521,16,5,4,1400,1,1,1,3,4882840,227337,4,1,1,0,1,1,0,70,1,0,1,0,1,0,0,1,1
201600052294,16,5,2,200,5,1,1,3,4885140,226083,4,2,4,0,1,1,0,150,1,0,1,0,1,0,0,1,1
