Num_Acc,an,mois,jour,hrmn,lum,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,unscathed,killed,hospital,light,chance
200700060745,7,10,22,1300,1,1,1,1,4518300,666700,3,2,2,0,0,2,0,82,1,0,1,0,1,0,1,0,1
200700060746,7,10,6,1430,1,1,1,7,4591700,609500,2,2,0,0,3,1,0,0,1,0,1,0,0,0,2,0,1
200700060747,7,10,9,2145,5,1,1,3,4592400,609600,3,0,2,0,1,0,0,70,1,5,1,0,2,0,2,1,1
200700060754,7,10,6,2000,5,1,1,7,4613600,633800,2,2,2,0,1,1,0,72,1,0,1,0,0,0,0,2,1
200700060755,7,10,5,1600,1,1,1,5,4603000,661000,3,2,2,0,1,2,0,70,1,0,1,0,1,0,2,0,1
200700060758,7,10,31,2015,5,1,1,4,4594000,663200,4,2,3,0,1,1,0,0,1,5,1,0,1,0,0,2,1
200700060759,7,10,31,1830,5,1,1,1,4592100,669600,3,2,0,0,1,1,0,0,1,5,1,0,2,0,1,0,1
200700060760,7,10,13,145,3,1,1,6,4609300,668800,3,2,2,0,1,1,0,72,1,0,3,0,0,1,0,0,1
200700060763,7,10,6,600,5,1,1,1,4616600,624300,3,2,2,0,0,3,0,60,1,0,1,0,1,0,1,0,1
200700060764,7,10,7,1630,1,1,1,1,4616200,631600,3,2,3,0,2,2,0,0,1,0,1,0,0,0,4,0,1
200700060770,7,10,25,800,1,1,8,1,4602600,601200,3,2,2,0,2,3,0,65,1,0,1,0,0,0,1,1,1
200700060772,7,10,24,1730,1,1,1,6,4633000,635700,3,2,2,0,1,1,0,78,1,0,1,0,0,0,1,0,1
200700060773,7,10,3,1330,1,2,1,3,4637700,664200,3,2,2,0,2,1,0,63,1,0,1,0,1,0,0,1,1
200700060776,7,10,21,1230,1,1,1,7,4571000,300500,3,2,0,0,1,1,0,50,1,0,1,0,0,0,1,0,1
200700060777,7,10,28,1730,2,1,1,7,4559400,312500,3,0,0,0,1,1,0,45,1,0,1,0,1,0,1,0,1
200700060779,7,10,28,1330,1,1,1,6,4539900,386900,3,2,2,0,2,2,0,50,1,0,1,0,0,0,1,0,1
200700060781,7,10,14,2030,1,1,1,7,4555600,315800,3,2,0,0,1,1,0,63,1,0,3,0,0,1,0,0,1
200700060783,7,10,30,1615,1,1,2,3,4552900,321800,3,2,2,0,1,1,0,69,2,0,1,0,2,0,2,0,1
200700060785,7,10,29,1730,2,1,2,7,4549000,259000,4,2,1,0,2,3,0,32,2,0,1,0,0,0,1,0,1
200700060786,7,10,14,1500,1,1,1,6,4605400,320900,3,2,2,0,1,1,0,78,1,0,3,0,0,1,2,0,1
200700060787,7,10,14,1600,1,1,1,7,4587000,322900,3,2,2,0,1,2,0,47,1,0,3,0,0,0,1,0,1
200700060789,7,10,20,1800,1,1,7,3,4619000,280200,3,2,2,0,1,1,0,110,1,0,1,0,1,0,0,2,1
