Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,lat,long,dep,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,killed
201600000022,16,4,2,1045,1,1,2,1,3,402,5084579,226407,590,3,2,2,0,2,1,0,73,1,0,0,0,1
201600000051,16,4,29,1545,1,1,1,1,1,581,5068000,279300,590,3,2,2,0,1,1,68,0,1,0,1,99,0
201600000052,16,6,1,1530,1,2,1,2,3,268,5064100,271200,590,3,2,2,0,1,1,0,65,2,0,1,3,0
201600000056,16,10,18,745,2,1,1,1,6,581,5070800,276500,590,3,2,2,0,1,1,0,62,1,0,1,0,1
201600000058,16,3,10,400,3,2,1,1,6,615,5070266,262094,590,3,2,2,0,1,3,0,63,1,0,3,99,1
201600000066,16,6,27,1545,1,1,1,1,1,546,5078535,253023,590,3,2,0,0,1,1,0,69,1,0,1,99,1
201600000073,16,9,27,2100,5,2,2,1,3,44,5060979,322963,590,3,2,2,0,1,1,0,0,1,5,0,99,0
201600000081,16,1,22,1130,1,1,2,1,3,643,5074146,296661,590,3,2,2,2,1,1,0,81,1,0,1,99,0
201600000083,16,4,2,815,1,2,8,1,3,482,5071633,299358,590,3,2,2,0,1,1,0,63,1,4,0,99,0
201600000084,16,4,2,200,3,1,1,1,2,252,5071359,293964,590,3,2,2,2,1,1,0,97,1,0,1,0,0
201600000087,16,5,30,1145,1,1,6,2,2,173,5073736,295811,590,3,2,2,0,1,1,0,0,2,5,0,99,0
201600000088,16,8,9,1345,1,2,6,1,3,252,5071258,293230,590,3,2,2,0,1,1,0,58,1,5,1,99,0
201600000089,16,9,10,530,3,1,1,1,1,252,5070937,294594,590,3,2,2,0,1,1,0,69,1,0,1,99,0
201600000090,16,12,24,530,5,1,1,1,6,173,5072661,297364,590,3,2,0,1,0,1,0,60,2,5,3,99,0
201600000095,16,4,4,1530,1,1,1,1,1,313,5026022,332324,590,3,2,0,0,1,1,0,73,2,0,1,99,1
201600000099,16,2,4,2115,5,2,1,1,6,374,5012850,383819,590,3,2,2,0,2,1,0,70,1,0,4,0,1
201600000129,16,2,7,615,5,2,1,2,6,274,5007517,368177,590,3,2,0,0,1,3,25,69,2,5,1,99,1
201600000133,16,6,20,1500,1,2,1,3,6,139,5013195,340272,590,3,2,0,0,1,1,0,0,2,0,1,99,1
201600000154,16,2,11,645,2,2,1,1,7,26,5026700,316400,590,3,2,2,0,1,1,0,0,1,0,1,3,0
201600000155,16,7,2,1400,1,2,1,1,6,224,5026763,322428,590,3,2,0,0,1,2,60,0,1,0,4,0,1
201600000156,16,8,28,2000,2,2,1,1,3,15,5028800,312600,590,3,2,0,0,2,1,0,65,1,0,1,3,0
