Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,an_nais,num_veh
200700060745,1.0,1,1,1,1.0,11.0,0.0,0.0,1983.0,A01
200700060745,1.0,1,3,1,1.0,11.0,0.0,0.0,1960.0,B02
200700060746,2.0,2,3,1,0.0,21.0,0.0,0.0,1976.0,A01
200700060746,1.0,1,3,1,5.0,21.0,0.0,0.0,1972.0,A01
200700060747,1.0,1,3,2,5.0,11.0,0.0,0.0,1986.0,A01
200700060747,2.0,2,3,1,0.0,11.0,0.0,0.0,1982.0,A01
200700060747,3.0,2,4,2,0.0,11.0,0.0,0.0,1981.0,A01
200700060747,4.0,2,1,1,0.0,11.0,0.0,0.0,1986.0,A01
200700060747,1.0,1,1,1,5.0,11.0,0.0,0.0,1982.0,B02
200700060754,1.0,1,4,1,5.0,21.0,0.0,0.0,1982.0,A01
200700060754,2.0,2,4,2,0.0,21.0,0.0,0.0,1985.0,A01
200700060755,1.0,1,1,1,5.0,11.0,0.0,0.0,1987.0,A01
200700060755,1.0,1,3,2,5.0,11.0,0.0,0.0,1958.0,B02
200700060755,1.0,1,3,1,4.0,11.0,0.0,0.0,1952.0,C03
200700060758,1.0,1,4,1,5.0,11.0,0.0,0.0,1979.0,A01
200700060758,1.0,1,1,1,1.0,11.0,0.0,0.0,1955.0,B02
200700060758,1.0,1,4,1,5.0,11.0,0.0,0.0,1950.0,C03
200700060759,1.0,1,1,1,4.0,11.0,0.0,0.0,1968.0,A01
200700060759,2.0,2,1,1,0.0,11.0,0.0,0.0,1965.0,A01
200700060759,1.0,1,3,2,5.0,11.0,0.0,0.0,1975.0,B02
200700060760,1.0,1,2,2,5.0,12.0,0.0,0.0,1983.0,A01
200700060763,1.0,1,3,1,5.0,11.0,0.0,0.0,1962.0,A01
200700060763,1.0,1,1,1,1.0,11.0,0.0,0.0,1963.0,B02
200700060764,1.0,1,3,2,5.0,11.0,0.0,0.0,1950.0,A01
200700060764,2.0,2,3,1,0.0,11.0,0.0,0.0,1956.0,A01
200700060764,1.0,1,3,1,5.0,11.0,0.0,0.0,1967.0,B02
200700060764,2.0,2,3,2,0.0,11.0,0.0,0.0,1969.0,B02
200700060770,1.0,1,3,2,1.0,11.0,0.0,0.0,1981.0,A01
200700060770,1.0,1,4,2,1.0,11.0,0.0,0.0,1956.0,B02
200700060772,1.0,1,3,2,0.0,11.0,0.0,0.0,1944.0,A01
200700060773,1.0,1,4,1,1.0,21.0,0.0,0.0,1991.0,B02
200700060773,1.0,1,1,1,5.0,11.0,0.0,0.0,1946.0,A01
200700060776,1.0,1,3,1,5.0,21.0,0.0,0.0,1978.0,A01
200700060777,1.0,1,1,1,5.0,11.0,0.0,0.0,1986.0,A01
200700060777,2.0,2,3,2,0.0,11.0,0.0,0.0,1988.0,A01
200700060779,1.0,1,3,1,9.0,11.0,0.0,0.0,1988.0,A01
200700060781,1.0,1,2,1,9.0,21.0,0.0,0.0,1979.0,A01
200700060783,1.0,1,3,1,5.0,11.0,0.0,0.0,1931.0,A01
200700060783,1.0,1,1,1,5.0,11.0,0.0,0.0,1979.0,B02
200700060783,2.0,2,3,2,0.0,11.0,0.0,0.0,1978.0,B02
200700060783,4.0,2,1,1,0.0,31.0,0.0,0.0,2005.0,B02
200700060785,1.0,1,3,1,5.0,21.0,0.0,0.0,1991.0,A01
200700060786,1.0,1,3,1,5.0,11.0,0.0,0.0,1971.0,A01
